연번,소재지(시도),시군구,문화재명,방재시설(소방방범),방재시설업체명,담당자,업체연락처,관할소방서기관명,거리(KM),소방차도착시간(min),소방기관연락처
463,경북,청도,청도 대비사 대웅전,소방,㈜대경방재,이전호,054-372-3876,금천119안전센터,7.3,13,054-370-8321
464,경북,청도,청도 운문사 대웅보전,소방,㈜대경방재,이전호,054-372-8800,금천119안전센터,14.6,20,054-370-8321
465,경북,청도,청도 대적사 극락전,소방,㈜대경방재,이전호,054-373-1964,청도소방서 청도119안전센터,10.5,14,054-370-8301
466,경북,청도,청도 운강고택과 만화정,소방,㈜대경방재,이전호,,금천119안전센터,1.6,2,054-370-8321
467,경북,청도,청도 운림고택,소방,㈜대경방재,이전호,,금천119안전센터,5,8,054-370-8321
468,경북,청송,청송 대전사 보광전,소방,㈜디엔알,임종근,054-873-2908,청송소방(주왕산119지역대),9,15,054-874-6119
469,경북,청송,청송 보광사 극락전,소방,㈜디엔알,임종근,054-872-4183,청송소방(청송119안전센터),3.4,6,054-873-1119
470,경북,청송,청송 찬경루,소방,㈜디엔알,임종근,02-2267-7857,청송소방(청송119안전센터),1.6,3,054-873-1119
471,경북,청송,청송 성천댁,소방,㈜디엔알,임종근,,청송소방(청송119안전센터),3.8,6,054-873-1119
472,경북,청송,청송 후송당 고택,소방,㈜디엔알,임종근,,청송소방(안덕119지역대),6.6,8,054-872-0119
473,경북,청송,청송 송소 고택,소방,㈜디엔알,임종근,054-874-6556,청송소방(청송119안전센터),4.7,8,054-873-1119
474,경북,청송,평산신씨 판사공파 종택,소방,㈜디엔알,임종근,02-776-6111,청송소방(청송119안전센터),6.2,9,054-873-1119
475,경북,청송,서벽고택,소방,㈜디엔알,임종근,,청송소방(청송119안전센터),6.2,9,054-873-1119
476,경북,청송,사남고택,소방,㈜디엔알,임종근,,청송소방(청송119안전센터),6.2,9,054-873-1119
477,경북,칠곡,칠곡 송림사 대웅전,방범,한국아이티에스,박재영,054-976-8116,동명 119 안전센터,1,2,054-970-2851
478,경북,포항,포항 보경사 적광전,소방,모든소방㈜,박성무,054-262-1117,흥해119소방센터,16,16,054-260-2119
479,경북,포항,포항 상달암,소방,부림방재,이광철,,연일119소방센터,16,19,054-288-0991
480,경북,포항,포항 장기읍성,,,,054-270-2272,장기119지역대,1,1,054-276-0119
481,경남,거제,거제 기성관,소방,거성소방,윤두호,055-639-3403,거제119안전센터,1,3,055-689-9400
482,경남,거제,거제현 관아,소방,거성소방,윤두호,055-639-3403,거제119안전센터,1,3,055-689-9400
483,경남,거창,거창 동계종택,소방,국제,우용택,,위천119,1,5,055-940-9374
484,경남,고성,고성 옥천사 자방루,,,,,회화119안전센터,15,16,055-670-9320
485,경남,김해,김해 봉황동 유적,소방,나라세이프㈜,최희정,055-330-3933,김해중부소방서(동상119안전센터),1,2,055-332-4119
486,경남,김해,김해 수로왕릉,소방,나라세이프㈜,최희정,055-330-3933,김해중부소방서(동상119안전센터),1,2,055-332-4119
487,경남,김해,김해 수로왕비릉,소방,나라세이프㈜,최희정,055-330-3933,김해중부소방서(동상119안전센터),1,2,055-332-4119
488,경남,남해,남해 용문사 대웅전,소방,㈜진일소방이엔지,김민환,,남해소방서,13,17,055-860-9236
489,경남,남해,남해 관음포 이충무공 유적,소방,㈜진일소방이엔지,김민환,,남해소방서,14,18,055-860-9236
490,경남,남해,남해 충렬사,소방,㈜진일소방이엔지,김민환,,남해소방서,16,20,055-860-9236
491,경남,밀양,밀양 영남루,소방,㈜다호소방,노성훈,055-359-5638,밀양소방서,2,4,055-350-9282
492,경남,밀양,밀양향교 대성전,소방,㈜다호소방,노성훈,055-354-5872,밀양소방서,1,3,055-350-9282
493,경남,밀양,밀양향교 명륜당,소방,㈜다호소방,노성훈,055-354-5872,밀양소방서,1,3,055-350-9282
494,경남,산청,산청 율곡사 대웅전,방범,거광이엔티,정길영,055-973-6011,산청소방서신등119지역대,7,15,055-970-9333
495,경남,산청,산청 단성향교 명륜당,,,,,산청소방서단성119안전센터,1.3,5,055-973-9320
496,경남,산청,산청 목면시배 유지,방범,㈜ADT캡스,박진효,055-970-6412,산청소방서단성119안전센터,1,2,055-973-9320
497,경남,산청,산청 조식 유적,방범,가드뱅크,이응규,055-970-6412,산청소방서 산악구조대,1.7,4,055-973-9300
498,경남,양산,양산 통도사 대웅전 및 금강계단,소방,주식회사 에프이피,이정호,055-382-7182,하북119안전센터,5.7,12,055-379-9390
499,경남,양산,양산 신흥사 대광전,소방,주식회사 에프이피,이정호,055-384-0108,원동119지역대,7.5,10,055-379-9341
500,경남,양산,양산 통도사 영산전,소방,주식회사 에프이피,이정호,055-382-7182,하북119안전센터,5.7,12,055-379-9390
501,경남,양산,양산 통도사 대광명전,소방,주식회사 에프이피,이정호,055-382-7182,하북119안전센터,5.7,12,055-379-9390
502,경남,진주,진주성,,,,055-749-5171,중앙119안전센터,0.6,1,055-760-9370
503,경남,창녕,창녕 관룡사 약사전,소방,중앙방재㈜,서상훈,055-521-1747,창녕119안전센터,16,17,055-259-9361
504,경남,창녕,창녕 관룡사 대웅전,소방,중앙방재㈜,서상훈,055-521-1747,창녕119안전센터,16,17,055-259-9361
505,경남,창녕,창녕 진양하씨 고택,소방,중앙방재㈜,서상훈,,창녕119안전센터,2,5,055-259-9361
506,경남,창원,창원 진해우체국,,,,044-200-8158,창원소방본부,6.9,16,055-548-9213
507,경남,통영,통영 세병관,소방,대우소방공사,공송식,055-650-4541,통영소방서 서호119안전센터,2,5,055-640-9370
508,경남,통영,통영 한산도 이충무공 유적,소방,대우소방공사,양희범,055-254-4480,통영소방서(소방정대),7,30,055-644-0119
509,경남,통영,통영 충렬사,소방,대우소방공사,공송식,055-645-3229,통영소방서 서호119안전센터,0.5,2,055-640-9370
510,경남,통영,통영 삼도수군통제영,소방,대우소방공사,공송식,055-650-4541,통영소방서 서호119안전센터,2,5,055-640-9370
511,경남,통영,삼덕리 마을제당,,,,,통영소방서 도남119안전센터,6,11,055-640-9382
512,경남,하동,하동 쌍계사 대웅전,소방,㈜아주소방엔지니어링,강현석,055-883-1901,하동소방서 화계119지역대,5,10,055-880-9281
513,경남,함안,함안 무기연당,소방,㈜강오소방엔지니어링,배인하,,함안소방서 칠원119안전센터,3.1,6,055-580-9330
514,경남,함양,함양 남계서원,소방,덕유소방엔지니어링,백경진,055-962-1438,함양소방서,9.5,14,055-960-9211
515,경남,함양,함양 일두고택,소방,덕유소방엔지니어링,백경진,055-962-7077,함양소방서,8.4,11,055-960-9211
516,경남,함양,함양 허삼둘 고택,소방,덕유소방엔지니어링,백경진,055-960-4540,안의119안전센터,0.2,1,055-962-0119
517,경남,합천,합천 해인사 장경판전,소방,㈜수성방재,배성근,055-934-3000,합천소방서 해인사지역대,2.5,14,055-930-9281
518,경남,합천,합천 해인사 홍제암,소방,㈜수성방재,배성근,055-934-3000,합천소방서 해인사지역대,2.5,14,055-930-9281
519,경남,합천,합천 해인사,소방,㈜수성방재,배성근,055-934-3000,합천소방서 해인사지역대,2.5,14,055-930-9281
520,경남,합천,합천 묵와고택,소방,㈜수성방재,배성근,,합천 북부 119,11,15,055-930-9350
521,제주,제주,제주 관덕정,소방,㈜우리방재,이창현,,삼도119센터,0.8,2,064-756-4258
522,제주,제주,제주향교 대성전,소방,㈜세명방재,고영준,064-757-0976,삼도119센터,1,3,064-756-4258
523,제주,제주,제주목 관아,소방,㈜우리방재,이창현,,삼도119센터,0.8,2,064-756-4258
524,제주,제주,제주 성읍마을 객주집,소방,대경엔지니어링,안태환,,표선119센터,5,10,064-787-8119
525,제주,제주,제주 성읍마을 고평오 고택,소방,대경엔지니어링,안태환,,표선119센터,5,10,064-787-8119
526,제주,제주,제주 성읍마을 고창환 고택,소방,대경엔지니어링,안태환,,표선119센터,5,10,064-787-8119
527,제주,제주,제주 성읍마을 한봉일 고택,소방,대경엔지니어링,안태환,,표선119센터,5,10,064-787-8119
528,제주,제주,제주 성읍마을 대장간집,소방,대경엔지니어링,안태환,,표선119센터,5,10,064-787-8119
529,제주,제주,제주 성읍마을,소방,대경엔지니어링,안태환,,표선119센터,5,10,064-787-8119
